PID,Turnaround,Waiting,Response
78,84,82,82
78,85,84,84
78,89,88,88
78,973,963,79
78,82,81,81
79,1341,1323,84
79,83,82,82
79,263,260,89
79,215,211,82
79,84,82,82
80,731,723,86
80,86,84,84
80,266,262,91
80,216,212,83
80,761,753,80
81,89,87,87
81,230,227,85
81,1061,1051,90
81,86,85,85
81,1513,1488,84
82,430,425,90
82,229,225,84
82,858,851,90
82,215,212,84
82,87,85,85
83,1221,1207,91
83,86,85,85
83,268,265,90
83,1137,1125,86
83,1366,1351,87
84,94,93,93
84,87,85,85
84,94,92,92
84,420,414,87
84,806,798,88
85,984,974,93
85,88,87,87
85,95,94,94
85,90,89,89
85,92,90,90
86,454,449,94
86,236,233,87
86,97,96,96
86,1410,1391,89
86,92,91,91
87,1121,1109,94
87,90,88,88
87,275,272,96
87,93,91,91
87,1293,1279,91
88,466,460,98
88,91,89,89
88,1195,1184,96
88,94,92,92
88,1061,1052,96
89,252,249,96
89,502,497,91
89,597,591,95
89,97,95,95
89,235,231,94
90,255,252,99
90,519,514,90
90,1292,1278,97
90,491,485,97
90,835,828,96
91,101,100,100
91,1212,1201,92
91,1296,1283,100
91,503,498,98
91,99,97,97
92,1209,1196,101
92,850,843,94
92,632,627,102
92,101,99,99
92,840,833,98
93,791,784,104
93,97,95,95
93,1300,1287,104
93,505,499,100
93,244,241,97
94,107,105,105
94,541,535,97
94,108,106,106
94,809,802,100
94,840,833,98
95,108,107,107
95,544,539,99
95,1300,1287,107
95,105,103,103
95,847,840,100
96,109,108,108
96,101,100,100
96,667,661,109
96,1324,1309,105
96,1296,1283,102
97,110,108,108
97,561,556,103
97,110,109,109
97,533,528,105
97,104,103,103
98,513,507,108
98,1074,1064,100
98,940,932,113
98,1162,1150,107
98,279,275,104
99,273,270,110
99,103,102,102
99,675,670,111
99,1322,1307,108
99,285,281,103
100,516,511,111
100,1081,1072,105
100,115,114,114
100,843,836,110
100,287,284,105
101,275,272,113
101,290,286,108
101,688,683,114
101,113,111,111
101,868,861,107
102,117,115,115
102,1406,1387,110
102,331,327,112
102,115,113,113
102,291,287,109
103,279,276,116
103,301,298,111
103,1374,1357,112
103,1031,1022,114
103,1208,1197,112
104,284,281,117
104,1098,1089,113
104,116,114,114
104,849,842,116
104,887,879,113
105,806,799,119
105,118,116,116
105,338,334,116
105,120,119,119
105,1293,1279,115
106,1208,1195,121
106,1292,1279,117
106,1101,1092,117
106,581,575,117
106,1088,1079,114
107,123,122,122
107,318,314,120
107,342,339,119
107,122,120,120
107,1089,1080,115
108,299,295,124
108,910,902,121
108,1392,1370,119
108,865,858,119
108,119,117,117
109,1127,1116,126
109,913,906,123
109,705,700,122
109,122,121,121
109,1287,1274,118
110,829,822,128
110,126,125,125
110,125,124,124
110,122,120,120
110,929,921,120
111,130,128,128
111,128,126,126
111,1340,1324,124
111,1170,1159,121
111,334,330,119
112,593,587,126
112,127,126,126
112,128,126,126
112,630,624,124
112,1207,1196,120
113,314,311,127
113,130,128,128
113,129,128,128
113,126,125,125
113,338,335,119
114,131,130,130
114,643,637,126
114,945,938,128
114,314,311,125
114,1097,1088,121
115,323,320,131
115,131,129,129
115,134,132,132
115,633,628,127
115,1096,1087,121
116,131,130,130
116,132,131,131
116,132,131,131
116,1313,1298,129
116,341,338,122
117,134,132,132
117,348,345,132
117,1289,1275,133
117,1307,1291,130
117,125,124,124
118,326,322,131
